run_id,test_case,move_index,start_x,start_y,start_z,goal_x,goal_y,goal_z,cartesian_distance_m,path_length_m,plan_time_s,execution_time_s,success
corridor_position_only_1773040398,corridor_position_only,1,0.3546658469842041,0.4408820393612728,1.2327346762505555,-0.13066148444452752,0.563281457007225,1.3115,0.5066835425560583,0.5073908165237101,5.261275291442871,2.5063254833221436,1
corridor_position_only_1773040398,corridor_position_only,2,-0.13155742919352675,0.5628798017939292,1.3110543609992038,-0.5637710546430907,-0.5286635290580576,1.3115,1.1739998550876507,1.7524381312686559,56.760096073150635,12.441011428833008,1
corridor_position_only_1773040398,corridor_position_only,3,-0.5481958650076174,-0.5423980077106259,1.611023649027492,0.31840995327503974,0.22989172189176654,1.3115,1.1988125320738994,1.2327949623736276,20.833677768707275,4.51380181312561,1
corridor_position_only_1773040398,corridor_position_only,4,0.3353343775682399,0.2432714542620181,1.6137907333934267,0.7769013140664358,-0.45124606192804856,1.3115,0.8767642939802903,1.024375854027619,7.56562352180481,10.827415943145752,1
corridor_position_only_1773040398,corridor_position_only,5,0.8075514494134483,-0.46567660539411204,1.6269853764638347,-0.26999187445419626,-0.021984662937305166,1.3115,1.2072668211192394,2.1660893335068567,36.04021501541138,21.744394302368164,1
corridor_position_only_1773040398,corridor_position_only,6,-0.2708232306550825,-0.02229607730014073,1.3111523683867732,0.33969243733975607,-0.5513354354640945,1.3115,0.8078441336058897,0.8948319428690016,9.867915630340576,4.512537956237793,1
corridor_position_only_1773040398,corridor_position_only,7,0.36357765010014886,-0.5705995763071778,1.6234590544170209,0.030930708718165167,0.33583177095400074,1.3115,1.014687255533086,1.0452703784197135,23.80407214164734,5.617073059082031,1
corridor_position_only_1773040398,corridor_position_only,8,0.05285966702796474,0.35677462920033937,1.623989501814025,0.3011656754845682,-0.6791771329227231,1.3115,1.110180893379771,1.4014815579903344,20.440462589263916,4.008757591247559,1
corridor_position_only_1773040398,corridor_position_only,9,0.33269683437471587,-0.7147852641656123,1.6397967256209909,-0.744067742703176,0.5607687281860799,1.3115,1.7012462143697886,2.0475597542984185,20.394445180892944,6.725354433059692,1
corridor_position_only_1773040398,corridor_position_only,10,-0.7656903140330309,0.5796761286135412,1.6219398094237627,-0.2692555094983793,-0.6087985153552286,1.3115,1.3248744732181663,1.3340875199976534,20.0627760887146,7.515795946121216,1
corridor_position_only_1773040398,corridor_position_only,11,-0.2826328433499667,-0.6444956158969197,1.6322716761068907,-0.6311202185376483,-0.06262692550711468,1.3115,0.7502726782400987,0.0,129.62602043151855,0.0,0
