run_id,test_case,move_index,start_x,start_y,start_z,goal_x,goal_y,goal_z,cartesian_distance_m,path_length_m,plan_time_s,execution_time_s,success
pure_rrt_1772962410,pure_rrt,1,0.35459349156928477,0.44089376048142503,1.228945942960313,-0.13066148444452752,0.563281457007225,1.3115,0.5072142666967963,0.5076937924787648,0.05111074447631836,2.5061686038970947,1
pure_rrt_1772962410,pure_rrt,2,-0.1304342306284384,0.5634447869585513,1.3112618624937609,-0.5637710546430907,-0.5286635290580576,1.3115,1.1749389063560756,1.722126227928672,0.10111427307128906,3.8097479343414307,1
pure_rrt_1772962410,pure_rrt,3,-0.47472201074761544,-0.47145109354491344,1.4259110385977012,0.31840995327503974,0.22989172189176654,1.3115,1.0649084199460948,1.276642901647012,0.10114765167236328,3.71004056930542,1
pure_rrt_1772962410,pure_rrt,4,0.19354818290963594,0.3441285713161936,1.4355785885400305,0.7769013140664358,-0.45124606192804856,1.3115,0.9941414280538466,1.2512049213360463,0.05170631408691406,2.9071204662323,1
pure_rrt_1772962410,pure_rrt,5,0.688111744946231,-0.6124719260163152,1.4426937499100885,-0.26999187445419626,-0.021984662937305166,1.3115,1.1330708509983871,1.3373595661633815,0.050920724868774414,2.907180070877075,1
pure_rrt_1772962410,pure_rrt,6,-0.4276554350350962,0.02021633126062901,1.432447924187001,0.33969243733975607,-0.5513354354640945,1.3115,0.9644286285928627,0.9508615231514013,0.05116915702819824,2.1094815731048584,1
pure_rrt_1772962410,pure_rrt,7,0.22683708345146947,-0.6457779106377346,1.4274836677390716,0.030930708718165167,0.33583177095400074,1.3115,1.007665165537631,1.2285101972681998,0.21144318580627441,3.8685319423675537,1
pure_rrt_1772962410,pure_rrt,8,-0.07377072769488202,0.4374063043169113,1.4270382506484935,0.3011656754845682,-0.6791771329227231,1.3115,1.1835053722353497,1.5923979240821984,0.6354537010192871,3.642331838607788,1
pure_rrt_1772962410,pure_rrt,9,0.2593363403610862,-0.8181855548098091,1.42709803370568,-0.744067742703176,0.5607687281860799,1.3115,1.70929739188339,2.2185358096231016,0.25902390480041504,3.839484930038452,1
pure_rrt_1772962410,pure_rrt,10,-0.8023228274841916,0.6803494374623584,1.4255095003203728,-0.2692555094983793,-0.6087985153552286,1.3115,1.399664736971559,1.6547439190666609,0.30782532691955566,4.555762529373169,1
pure_rrt_1772962410,pure_rrt,11,-0.36827835488053673,-0.700820189326012,1.4252481191012172,-0.6311202185376483,-0.06262692550711468,1.3115,0.6995106302792152,0.8073379496435446,0.15494441986083984,4.436604738235474,1
pure_rrt_1772962410,pure_rrt,12,-0.780562555703159,-0.03605039167291747,1.4290111022754641,-0.36009807646876646,0.16730561870237126,1.3115,0.48161489222365006,0.4293349756421432,0.15344715118408203,2.9144821166992188,1
pure_rrt_1772962410,pure_rrt,13,-0.49626268874913604,0.27819670962077087,1.4388189322660097,0.21057977365838032,-0.48900997810792585,1.3115,1.0509245828656384,1.1015051328960646,0.20735740661621094,2.5125303268432617,1
pure_rrt_1772962410,pure_rrt,14,0.08425997166059829,-0.5951036955677662,1.4342057347767843,0.9890869021802229,0.4864927794875896,1.3115,1.4154926373502785,2.195044306779443,0.15580415725708008,4.023620843887329,1
pure_rrt_1772962410,pure_rrt,15,1.0976760984963911,0.6239603079864647,1.438447410639097,-0.6976078609330956,-0.4737195470360945,1.3115,2.108094211408763,2.6451528628825063,0.05168509483337402,3.8103396892547607,1
pure_rrt_1772962410,pure_rrt,16,-0.8198720832217423,-0.5394221405488322,1.4259470978742173,-0.10264161183544662,-0.370166430342667,1.3115,0.7457648307169171,0.584909572353773,0.05178999900817871,2.305795907974243,1
pure_rrt_1772962410,pure_rrt,17,-0.24714809813178273,-0.4207951015634245,1.4287940924121671,-0.31618780179961137,0.002664418259433421,1.3115,0.4447947276283083,0.5206522317904996,0.0516357421875,3.9081804752349854,1
